type,indicator,confidence,supporting_frames,notes
ip,194.26.135.119,High,"1697-1787",IcedID BackConnect C2 server; non-standard port 12432; 592 KB bidirectional transfer; top talker by volume
ip,92.118.151.9,High,"1366-1385",IcedID second-stage payload delivery; resolves to guiatelefonos[.]com; 371 KB inbound via TLS port 443
ip,195.161.114.3,High,"1354-1363",PowerShell dropper C2; resolves to 623start[.]site; received AV status reports from victim
domain,623start[.]site,High,"1352-1363",PowerShell dropper C2 domain; received ?status=start and ?status=install callbacks; not associated with any legitimate service
domain,guiatelefonos[.]com,High,"1364-1385",IcedID payload delivery domain; GET /data/czx.jpg returned binary payload disguised as JPEG; then TLS on same IP
port,12432,High,"1697-1787",Non-standard TCP port used by IcedID BackConnect C2 protocol; no legitimate service uses this port
uri_pattern,/?status=start&av=,High,"1357",IcedID dropper check-in URI; av= parameter exfiltrates installed AV product name to C2
uri_pattern,/?status=install,High,"1360",IcedID dropper install-confirmation URI; second check-in after payload execution
uri_pattern,/data/czx.jpg,High,"1369",IcedID second-stage payload URI; binary executable disguised as JPEG image
user_agent,"Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.19041.3031",High,"1357,1360",PowerShell masquerading as browser; used by IcedID dropper for C2 communication; no legitimate browser sends this UA
protocol,DRSUAPI-opcode-12,High,"256-260,606-616,715-718",DCSync attack — DRSUAPI opcode 12 (DsGetNCChanges) initiated from workstation 10.7.10.47; should only originate from Domain Controllers
protocol,DRSUAPI-opcode-13,High,"310-315",DCSync credential replication request — DRSUAPI opcode 13 from workstation; confirms credential dumping
host,DESKTOP-9PEA63H,Medium,"7",Victim workstation hostname; domain: coolweathercoat.com; IP: 10.7.10.47
host,WIN-S3WT6LGQFVX,Low,"15-16",Domain Controller hostname; coolweathercoat.com; IP: 10.7.10.9; legitimate but targeted by DCSync
dns_pattern,wpad.coolweathercoat.com,Low,"41,1247",WPAD proxy auto-discovery; queried twice — potential for WPAD poisoning attack
network,10.7.10.47,Medium,"all",Victim workstation; sole source of all malicious traffic; infected host
network,10.7.10.9,Low,"all",Domain Controller; target of DCSync and repeated LDAP enumeration; credentials likely compromised
